Municipality,Latitude,Longitude
Aeugst am Albis,47.267949,8.4863301
Affoltern am Albis,47.278247,8.4521518
Bonstetten,47.315466,8.4670602
Hausen am Albis,47.243877,8.534235
Hedingen,47.298441,8.4489755
Kappel am Albis,47.228848,8.5251335
Knonau,47.225146,8.4573072
Maschwanden,47.234984,8.4266177
Mettmenstetten,47.243488,8.4636702
Obfelden,47.26177,8.4197059
Ottenbach,47.28172,8.4060915
Rifferswil,47.241563,8.4971398
Stallikon,47.326923,8.4901051
Wettswil am Albis,47.339083,8.4734523
Adlikon,47.582503,8.6912556
Benken (ZH),47.653787,8.6537634
Berg am Irchel,47.56797,8.5959486
Buch am Irchel,47.548981,8.6199637
Dachsen,47.66619,8.6150532
Dorf,47.572003,8.647344
Feuerthalen,47.691477,8.64598
Flaach,47.575446,8.6060755
Flurlingen,47.686076,8.6272354
Andelfingen,47.595333,8.6794336
Henggart,47.563229,8.6835729
Humlikon,47.576235,8.6695684
Kleinandelfingen,47.599804,8.6860581
Laufen-Uhwiesen,47.670994,8.6350982
Marthalen,47.625775,8.6501583
Oberstammheim,47.631775,8.7986032
Ossingen,47.612854,8.7283378
Rheinau,47.643925,8.6017575
Thalheim an der Thur,47.578616,8.7538871
Trüllikon,47.637726,8.6934163
Truttikon,47.629606,8.7276879
Unterstammheim,47.638955,8.7907193
Volken,47.574646,8.6251185
Waltalingen,47.62196,8.7790569
Bachenbülach,47.504704,8.5473259
Bassersdorf,47.443571,8.6299131
Bülach,47.517232,8.5407118
Dietlikon,47.422281,8.6155979
Eglisau,47.573321,8.5239827
Embrach,47.505638,8.5941089
Freienstein-Teufen,47.531137,8.585086
Glattfelden,47.559752,8.5008282
Hochfelden,47.522561,8.5160674
Höri,47.506654,8.5062644
Hüntwangen,47.595424,8.4925331
Kloten,47.452513,8.5861477
Lufingen,47.489933,8.5943645
Nürensdorf,47.449261,8.6470753
Oberembrach,47.487636,8.618543
Opfikon,47.432267,8.5779983
Rafz,47.611593,8.5402669
Rorbas,47.530324,8.5771089
Wallisellen,47.41662,8.5919985
Wasterkingen,47.590058,8.4707137
Wil (ZH),47.605521,8.5049057
Winkel,47.493335,8.5538578
Bachs,47.525378,8.4397426
Boppelsen,47.470853,8.4026165
Buchs (ZH),47.458087,8.4378662
Dällikon,47.439942,8.4388272
Dänikon,47.445933,8.4057151
Dielsdorf,47.481037,8.4543245
Hüttikon,47.444983,8.3867932
Neerach,47.511229,8.4716
Niederglatt,47.491843,8.5030113
Niederhasli,47.481295,8.4858049
Niederweningen,47.507602,8.380001
Oberglatt,47.476804,8.5203554
Oberweningen,47.501261,8.4056983
Otelfingen,47.460873,8.3892173
Regensberg,47.482764,8.4374038
Regensdorf,47.431764,8.4680435
Rümlang,47.450716,8.5299122
Schleinikon,47.497191,8.3971872
Schöfflisdorf,47.499856,8.4162027
Stadel,47.528098,8.467585
Steinmaur,47.498999,8.4555136
Weiach,47.556584,8.4375683
Bäretswil,47.336025,8.8580536
Bubikon,47.268292,8.8191613
Dürnten,47.277854,8.842203
Fischenthal,47.333314,8.9225988
Gossau (ZH),47.305885,8.7602403
Grüningen,47.28194,8.7613283
Hinwil,47.301532,8.8419423
Rüti (ZH),47.257931,8.852696
Seegräben,47.342142,8.7709578
Wald (ZH),47.274142,8.9132553
Wetzikon (ZH),47.322693,8.7980939
Adliswil,47.311762,8.52491
Hirzel,47.215904,8.6101778
Horgen,47.260692,8.5976831
Hütten,47.176306,8.667935
Kilchberg (ZH),47.322532,8.5459483
Langnau am Albis,47.287663,8.5372813
Oberrieden,47.27791,8.5762195
Richterswil,47.209108,8.7017051
Rüschlikon,47.307465,8.5546421
Schönenberg (ZH),47.193746,8.6415425
Thalwil,47.294432,8.5635762
Wädenswil,47.227899,8.6701365
Erlenbach (ZH),47.303754,8.5920709
Herrliberg,47.290557,8.6124721
Hombrechtikon,47.252335,8.7680277
Küsnacht (ZH),47.317628,8.5830859
Männedorf,47.253174,8.6918153
Meilen,47.270428,8.6412249
Oetwil am See,47.270346,8.721657
Stäfa,47.241335,8.7348747
Uetikon am See,47.269368,8.68316
Zumikon,47.332406,8.6238228
Zollikon,47.337953,8.5755735
Bauma,47.367763,8.8792873
Fehraltorf,47.387371,8.7520123
Hittnau,47.36828,8.8233708
Illnau-Effretikon,47.431422,8.7157166
Kyburg,47.457086,8.744344
Lindau,47.442668,8.6722839
Pfäffikon,47.365582,8.7819841
Russikon,47.394837,8.776585
Sternenberg,47.387085,8.9113948
Weisslingen,47.43185,8.7640975
Wila,47.419979,8.8453407
Wildberg,47.426927,8.8166167
Dübendorf,47.396994,8.6185666
Egg,47.299067,8.6884584
Fällanden,47.371324,8.6388635
Greifensee,47.366248,8.6786693
Maur,47.340286,8.6692369
Mönchaltorf,47.31279,8.7222749
Schwerzenbach,47.381502,8.6523009
